id;titre;description;type;statut;date_debut;date_fermeture;latitude;longitude;rayon_km;declarant_id
1;par rapport à depuis glouglou;parlementaire;INONDATION;FERMEE;2026-04-23T02:09:27;2026-04-23T01:45:58;-4.81;145.49;29539.77;1
2;trop vide;personnel alentour;GLISSEMENT_DE_TERRAIN;ARCHIVEE;2026-04-23T08:38:42;2026-04-23T03:58:30;52.05;168.11;8628.28;2
3;responsable au prix de;chercher obliger clientèle;GLISSEMENT_DE_TERRAIN;ACTIVE;2026-04-23T03:42:48;2026-04-23T03:31:37;-20.49;101.44;330.48;3
4;insipide boum;pauvre soit intervenir;INONDATION;ACTIVE;2026-04-22T18:00:51;2026-04-22T22:20:06;-52.59;120.48;24589.99;4
5;à peine;séculaire;INONDATION;ARCHIVEE;2026-04-23T10:37:07;2026-04-23T11:33:33;-45.79;-112.34;13999.97;5
6;à condition que;interdire un peu;FEU_DE_FORET;ACTIVE;2026-04-22T14:14:08;2026-04-23T01:16:15;-80.07;56.37;10430.84;6
7;triangulaire;intrépide attarder broum;INONDATION;ACTIVE;2026-04-23T07:57:12;2026-04-23T11:09:27;42.06;144.09;2646.12;7
8;suffisamment quelque à condition que;chef de cuisine;AUTRE;ACTIVE;2026-04-23T11:51:32;2026-04-22T14:01:03;58.73;43.52;4555.27;8
9;certainement de crainte que;soit orange bè;FEU_DE_FORET;ACTIVE;2026-04-23T08:51:48;2026-04-22T19:35:47;0.34;32.72;23888.83;9
10;en parlementaire membre titulaire;tant;GLISSEMENT_DE_TERRAIN;ARCHIVEE;2026-04-22T20:58:04;2026-04-23T09:18:26;65.33;-33.4;16889.37;10
11;trop main-d’œuvre;inquiéter parmi;GLISSEMENT_DE_TERRAIN;FERMEE;2026-04-22T19:30:07;2026-04-23T08:57:47;82.41;143.88;19481.28;11
12;mature auparavant;atchoum du moment que;FEU_DE_FORET;FERMEE;2026-04-23T03:11:48;2026-04-22T15:41:49;60.07;-163.82;25291.61;12
13;divinement que crac;ainsi afin de;FEU_DE_FORET;FERMEE;2026-04-23T10:11:10;2026-04-22T14:45:46;-79.85;-101.5;23197.36;13
14;quasiment du fait que;respirer à la merci céans;INONDATION;ARCHIVEE;2026-04-23T06:48:05;2026-04-22T20:38:52;-25.87;103.1;18511.54;14
15;ça afin de;commissionnaire âcre;AUTRE;ACTIVE;2026-04-23T04:17:17;2026-04-22T22:21:02;28.39;108.59;32568.66;15
16;ouille ouch;plouf réconcilier;ACCIDENT_INDUSTRIEL;FERMEE;2026-04-22T17:51:12;2026-04-22T19:42:51;-62;77.32;22332.33;16
17;dès;porte-parole au point que;ACCIDENT_INDUSTRIEL;FERMEE;2026-04-22T23:54:26;2026-04-22T18:21:06;74.9;117.27;27118.57;17
18;aimable;chef approximativement;AUTRE;ACTIVE;2026-04-23T04:33:25;2026-04-23T09:34:15;10.36;-20.25;10322.71;18
19;puisque de sorte que soutenir;avant que de peur de;FEU_DE_FORET;FERMEE;2026-04-22T22:47:23;2026-04-22T19:25:31;7.11;48.55;15368.59;19
20;extrêmement placide coudre;chef;ACCIDENT_INDUSTRIEL;FERMEE;2026-04-22T16:36:46;2026-04-23T02:13:40;-73.32;109.54;21740.68;20
21;au lieu de pendant que coin-coin;chut;FEU_DE_FORET;ACTIVE;2026-04-23T01:19:11;2026-04-23T02:08:20;-14.49;89.45;31444.25;21
22;tic-tac pour que;alors que;INONDATION;FERMEE;2026-04-22T20:04:46;2026-04-23T10:02:28;-30.34;-145.51;32740.38;22
23;blême évoquer;plutôt juger au-dessous de;ACCIDENT_INDUSTRIEL;ACTIVE;2026-04-22T18:50:20;2026-04-23T02:05:23;-69.43;-124.6;6524.11;23
24;hé selon toc;a à côté de;ACCIDENT_INDUSTRIEL;ARCHIVEE;2026-04-22T21:51:19;2026-04-23T11:53:14;46.76;-131.14;18484.07;24
25;pschitt;parmi;INONDATION;ARCHIVEE;2026-04-23T03:34:40;2026-04-23T08:05:58;21.34;119.2;11680.19;25
26;alentour approuver relire;dans la mesure où défier comprendre;AUTRE;ACTIVE;2026-04-23T01:46:33;2026-04-23T04:17:34;46.87;43.71;8368.52;26
27;rocher magenta;aussitôt;FEU_DE_FORET;ARCHIVEE;2026-04-23T09:45:46;2026-04-23T09:21:16;-0.49;137.35;24530.61;27
28;via malgré;raide malgré à la faveur de;INONDATION;FERMEE;2026-04-22T21:44:46;2026-04-23T04:13:10;73.33;-37.2;4961.59;28
29;quoique un peu réveiller;au cas où du côté de trop;ACCIDENT_INDUSTRIEL;ACTIVE;2026-04-23T05:10:32;2026-04-22T22:58:36;72.51;13.94;23077.37;29
30;mince énergique mieux;du fait que précisément;INONDATION;FERMEE;2026-04-23T05:29:14;2026-04-23T08:50:42;-32.33;129.71;9919.09;30
