id;titre;description;statut;date_creation;date_mise_a_jour;date_fermeture;latitude;longitude;est_archivee;date_deferencement;sinistre_id;crise_id
1;dans cyan;foule lorsque même;FERMEE;2026-04-23T02:10:20;2026-04-23T02:14:11;2026-04-22T13:12:45;18.3;-73.48;true;2026-04-23T03:35:59;1;1
2;candide serviable aux environs de;fonctionnaire guide divinement;RESOLUE;2026-04-23T02:55:52;2026-04-22T23:00:10;2026-04-23T10:59:17;26.28;-43.25;false;2026-04-23T11:57:06;2;2
3;étant donné que sage meuh;séparer;RESOLUE;2026-04-23T10:05:41;2026-04-23T08:10:39;2026-04-23T05:18:08;0.54;-136.5;true;2026-04-23T10:04:07;3;3
4;conseil d’administration pendant que;horrible pff;OUVERTE;2026-04-22T18:07:12;2026-04-23T04:55:40;2026-04-23T04:20:17;-41.13;-52.47;true;2026-04-22T21:10:24;4;4
5;splendide;gestionnaire;FERMEE;2026-04-23T06:25:44;2026-04-22T13:45:30;2026-04-23T00:37:43;33.89;156.16;true;2026-04-23T03:26:38;5;5
6;de sorte que;membre à vie;OUVERTE;2026-04-22T21:42:59;2026-04-22T13:22:30;2026-04-23T11:30:37;-61.42;125.1;false;2026-04-23T01:31:05;6;6
7;gratis;peut-être sauver que;EN_COURS_DE_RESOLUTION;2026-04-22T14:35:15;2026-04-23T08:40:12;2026-04-22T22:58:29;25.26;161.79;true;2026-04-23T07:05:08;7;7
8;vroum lorsque;si bien que vers au-dessous de;OUVERTE;2026-04-22T16:34:47;2026-04-22T20:30:03;2026-04-23T02:49:45;-58.42;-56.01;true;2026-04-23T11:29:43;8;8
9;à l'insu de gens collègue;fidèle sale équipe de recherche;OUVERTE;2026-04-23T11:48:02;2026-04-23T06:38:00;2026-04-22T18:19:04;-55.98;54.47;true;2026-04-22T12:44:14;9;9
10;quoique patientèle;vivace de sorte que à peu près;RESOLUE;2026-04-23T10:28:28;2026-04-23T06:22:38;2026-04-22T17:02:00;-46.32;-110.03;true;2026-04-22T21:36:54;10;10
11;administration secours finir;malade baigner briller;RESOLUE;2026-04-23T09:20:54;2026-04-22T19:59:19;2026-04-23T07:13:53;-16.53;176.02;true;2026-04-23T00:03:52;11;11
12;bon défendre;confesser redire derrière;RESOLUE;2026-04-22T16:48:51;2026-04-23T00:28:46;2026-04-22T18:25:31;-58.08;139.6;true;2026-04-22T14:08:05;12;12
13;propre délégation;même si;EN_COURS_DE_RESOLUTION;2026-04-23T08:25:39;2026-04-23T04:50:27;2026-04-23T04:50:54;-54.46;92.38;false;2026-04-22T23:28:34;13;13
14;lentement inscrire pis;parlementaire;RESOLUE;2026-04-22T15:18:52;2026-04-22T16:22:02;2026-04-23T09:15:10;-83.5;170;true;2026-04-22T20:49:13;14;14
15;rendre périr;à condition que;FERMEE;2026-04-23T00:23:16;2026-04-22T15:03:49;2026-04-22T20:19:16;-77.84;108.31;false;2026-04-23T09:13:17;15;15
16;à l'égard de parfois;tchou tchouu pschitt apaiser;OUVERTE;2026-04-22T13:21:28;2026-04-23T11:17:04;2026-04-22T22:18:15;59.92;-24.51;false;2026-04-23T01:12:40;16;16
17;multiple;tellement confirmer deviner;RESOLUE;2026-04-22T22:59:10;2026-04-22T14:31:20;2026-04-22T12:35:28;49.63;157.83;true;2026-04-23T04:35:44;17;17
18;après que;rectorat calme;EN_COURS_DE_RESOLUTION;2026-04-22T12:58:43;2026-04-23T09:34:05;2026-04-23T07:37:32;9.41;67.21;true;2026-04-22T18:27:55;18;18
19;vorace;d’autant que gai parmi;EN_COURS_DE_RESOLUTION;2026-04-23T11:44:57;2026-04-23T09:42:01;2026-04-23T01:15:36;-51.59;-23.13;true;2026-04-22T23:13:58;19;19
20;avare loin de pourvu que;payer à l'instar de;EN_COURS_DE_RESOLUTION;2026-04-22T15:43:52;2026-04-22T22:45:59;2026-04-22T14:08:35;-39.81;30.51;false;2026-04-22T23:59:23;20;20
21;derechef assez;à seule fin de;EN_COURS_DE_RESOLUTION;2026-04-23T10:27:13;2026-04-22T15:32:17;2026-04-23T09:14:20;82.27;-138.84;false;2026-04-22T21:52:52;21;21
22;désagréable durant;présidence;FERMEE;2026-04-23T09:12:46;2026-04-23T11:50:16;2026-04-22T15:18:23;-42.56;117.07;false;2026-04-22T18:24:44;22;22
23;à condition que;terne super;OUVERTE;2026-04-22T14:40:45;2026-04-23T04:00:55;2026-04-22T14:22:56;-2.97;-94.18;false;2026-04-23T03:59:51;23;23
24;devant;causer hormis suffisamment;EN_COURS_DE_RESOLUTION;2026-04-22T13:47:27;2026-04-23T09:03:52;2026-04-23T07:18:25;82.06;-176.13;true;2026-04-23T09:08:13;24;24
25;novice expédier lunatique;sombre;EN_COURS_DE_RESOLUTION;2026-04-23T01:26:32;2026-04-22T13:53:09;2026-04-23T10:37:48;-30.9;-60.04;true;2026-04-23T07:50:43;25;25
26;hé comment sincère;assurément plic;RESOLUE;2026-04-22T17:44:40;2026-04-23T09:49:34;2026-04-23T07:26:57;-83.13;-26.92;true;2026-04-23T07:11:19;26;26
