id;titre;contenu;date_publication;date_mise_a_jour;est_visible;crise_id;auteur_id
1;dans la mesure où;vlan drelin en dépit de;2026-04-23T07:33:12;2026-04-23T03:32:31;false;1;1
2;fonder;chef de cuisine réparer bang;2026-04-23T01:05:45;2026-04-22T14:21:07;true;2;2
3;sauvegarder amorphe tandis que;badaboum premièrement;2026-04-22T15:06:36;2026-04-22T15:56:49;false;3;3
4;jeune enfant;pendant que trop lunatique;2026-04-23T00:55:56;2026-04-23T08:21:12;false;4;4
5;souper administration;broum de façon à ce que;2026-04-23T00:13:25;2026-04-22T14:04:17;true;5;5
6;comme à force de snob;un peu au-dessus de;2026-04-23T08:35:17;2026-04-23T03:58:15;true;6;6
7;administration badaboum;absolument;2026-04-22T14:53:51;2026-04-23T07:56:19;true;7;7
8;équipe de recherche tant à partir de;souple à seule fin de;2026-04-22T14:25:26;2026-04-22T16:54:51;false;8;8
9;affranchir;aimable;2026-04-23T08:36:32;2026-04-23T03:48:54;false;9;9
10;étant donné que camarade;sous couleur de;2026-04-23T09:40:52;2026-04-23T10:47:56;true;10;10
11;derrière;encore foule;2026-04-22T19:24:33;2026-04-23T01:40:56;false;11;11
12;d'après;tant que touriste;2026-04-22T12:48:29;2026-04-22T20:14:52;true;12;12
13;bzzz;barrer;2026-04-22T12:42:27;2026-04-22T14:02:58;true;13;13
14;d'entre;fonctionnaire membre de l’équipe;2026-04-23T11:10:48;2026-04-22T12:38:35;false;14;14
15;tandis que tellement;âcre chef de cuisine blablabla;2026-04-23T01:25:12;2026-04-22T19:38:50;false;15;15
16;durer;circulaire;2026-04-22T21:18:26;2026-04-23T04:44:35;false;16;16
17;police énergique;dès que de manière à ce que;2026-04-23T10:17:47;2026-04-23T08:02:12;true;17;17
18;cuicui davantage;défiler tic-tac;2026-04-22T14:08:34;2026-04-23T00:01:09;true;18;18
19;neutre d'entre hi;à moins de;2026-04-22T15:52:58;2026-04-23T05:23:45;true;19;19
20;circulaire;parfois;2026-04-22T21:54:42;2026-04-23T07:23:47;true;20;20
21;administration émérite;sans que;2026-04-22T18:33:12;2026-04-23T05:00:28;false;21;21
22;au prix de;avant que sauf;2026-04-23T01:56:27;2026-04-22T12:18:25;false;22;22
23;dessous hi;blablabla autrement si bien que;2026-04-22T22:40:33;2026-04-22T12:26:01;true;23;23
24;envers trop;vlan pin-pon;2026-04-23T06:41:28;2026-04-22T13:36:34;false;24;24
25;séculaire franco dorénavant;vorace corps enseignant si bien que;2026-04-23T05:58:49;2026-04-22T23:54:22;true;25;25
26;gouverner;responsable vlan tant que;2026-04-22T18:33:41;2026-04-22T23:17:07;false;26;26
27;bien que tant;couper;2026-04-23T06:36:50;2026-04-23T04:31:23;true;27;27
28;chut concernant;révéler au prix de oh;2026-04-22T21:07:44;2026-04-23T07:04:06;false;28;28
29;adversaire euh par rapport à;fonctionner insipide;2026-04-22T18:34:59;2026-04-23T10:14:16;false;29;29
30;déposer au point que;infime violer;2026-04-22T15:02:15;2026-04-22T12:11:19;true;30;30
