id;contenu;date_envoi;est_modere;salon_id;auteur_id
1;dorénavant;2026-04-22T13:32:29;true;1;1
2;extra areu areu sympathique;2026-04-23T08:36:07;false;2;2
3;à cause de perplexe;2026-04-23T09:29:52;false;3;3
4;smack dès que pour que;2026-04-23T00:05:41;false;4;4
5;tandis que;2026-04-22T22:58:04;true;5;5
6;sous résulter;2026-04-23T06:04:13;true;6;6
7;assassiner séculaire;2026-04-23T07:24:03;true;7;7
8;aussi lunatique cependant;2026-04-22T20:12:39;true;8;8
9;après que à l'égard de;2026-04-23T11:27:57;false;9;9
10;premièrement rédaction imiter;2026-04-22T21:51:53;true;10;10
11;affranchir pschitt débarquer;2026-04-23T05:13:07;true;11;11
12;de peur que dessous;2026-04-23T10:23:04;false;12;12
13;extatique;2026-04-22T20:21:25;false;13;13
14;commis de cuisine à défaut de comporter;2026-04-22T18:14:13;true;14;14
15;drelin parce que bang;2026-04-23T08:59:08;false;15;15
16;patientèle;2026-04-23T01:23:49;false;16;16
17;de par à l'entour de;2026-04-23T01:47:00;true;17;17
18;du côté de pourvu que;2026-04-23T09:23:02;false;18;18
19;ouille de peur que;2026-04-22T22:21:58;false;19;19
20;ouille;2026-04-22T17:39:15;false;20;20
21;coac coac de sorte que;2026-04-23T05:05:15;false;21;21
22;contrarier;2026-04-23T09:46:01;true;22;22
23;tant passablement;2026-04-23T08:04:18;true;23;23
24;au cas où patientèle plouf;2026-04-23T10:13:06;false;24;24
25;chef paf;2026-04-23T08:29:07;false;25;25
26;incognito accommoder;2026-04-23T07:54:51;false;26;26
27;commis jusqu’à ce que;2026-04-22T13:05:05;true;27;27
28;de façon à ce que diététiste;2026-04-22T14:43:16;false;28;28
29;incognito;2026-04-22T23:21:47;false;29;29
30;en dehors de hi plaider;2026-04-22T19:08:20;false;30;30
