id;motif;date_moderation;action;administrateur_id
1;si bien que;2026-04-22T23:14:15;EXCLUSION_TEMPORAIRE;1
2;à l'égard de tout nonobstant;2026-04-22T17:51:34;BANNISSEMENT_UTILISATEUR;2
3;en outre de biathlète même si;2026-04-22T15:27:53;SUPPRESSION_ANNONCE;3
4;magnifique extatique;2026-04-23T11:46:18;SUPPRESSION_ANNONCE;4
5;zzzz spécialiste;2026-04-22T15:14:53;BANNISSEMENT_UTILISATEUR;5
6;à l'encontre de;2026-04-22T20:54:38;EXCLUSION_TEMPORAIRE;6
7;tic-tac;2026-04-23T10:16:08;BANNISSEMENT_UTILISATEUR;7
8;apte quasi coac coac;2026-04-22T21:26:00;SUPPRESSION_ANNONCE;8
9;hors;2026-04-22T19:50:44;BANNISSEMENT_UTILISATEUR;9
10;vite tendre;2026-04-22T23:37:08;SUPPRESSION_ANNONCE;10
11;juger ouah comment;2026-04-22T13:00:13;BANNISSEMENT_UTILISATEUR;11
12;diplomate au lieu de main-d’œuvre;2026-04-23T01:17:13;EXCLUSION_TEMPORAIRE;12
13;orange;2026-04-23T07:19:03;AVERTISSEMENT;13
14;depuis;2026-04-23T10:45:16;AVERTISSEMENT;14
15;ha ha conseil municipal comme;2026-04-22T21:50:57;SUPPRESSION_ANNONCE;15
16;sur puisque signifier;2026-04-23T09:51:41;BANNISSEMENT_UTILISATEUR;16
17;tchou tchouu hier;2026-04-22T15:49:54;AVERTISSEMENT;17
18;sitôt que;2026-04-22T21:28:15;BANNISSEMENT_UTILISATEUR;18
19;dynamique;2026-04-22T20:17:15;EXCLUSION_TEMPORAIRE;19
20;impromptu collègue mélancolique;2026-04-22T20:47:39;EXCLUSION_TEMPORAIRE;20
21;au-dessous de malgré en;2026-04-23T01:48:57;BANNISSEMENT_UTILISATEUR;21
22;tandis que terriblement;2026-04-23T11:05:04;AVERTISSEMENT;22
23;atchoum tout à fait;2026-04-23T05:38:34;EXCLUSION_TEMPORAIRE;23
24;rater gestionnaire;2026-04-22T23:44:11;BANNISSEMENT_UTILISATEUR;24
25;du fait que gagner;2026-04-23T01:38:49;BANNISSEMENT_UTILISATEUR;25
26;pauvre contenter agréable;2026-04-22T19:46:56;EXCLUSION_TEMPORAIRE;26
27;athlète boum;2026-04-22T13:51:11;EXCLUSION_TEMPORAIRE;27
28;lunatique électorat;2026-04-23T02:21:58;EXCLUSION_TEMPORAIRE;28
29;encore;2026-04-22T22:31:52;SUPPRESSION_ANNONCE;29
30;orange juriste;2026-04-22T19:54:05;BANNISSEMENT_UTILISATEUR;30
