id;titre;description;statut;date_creation;date_mise_a_jour;latitude;longitude;est_archivee;date_deferencement;crise_id;aidant_id
1;tant que pourpre ci;mature sombre étant donné que;CLOTUREE;2026-04-22T23:11:38;2026-04-23T01:09:17;60.41;-118.57;false;2026-04-22T23:33:42;1;1
2;terriblement communauté étudiante membre titulaire;sincère inviter;DISPONIBLE;2026-04-22T12:15:51;2026-04-23T00:44:54;-53.57;11.68;true;2026-04-23T03:09:28;2;2
3;à force de trop ha ha;drôlement;DISPONIBLE;2026-04-23T06:05:13;2026-04-23T04:17:51;47.76;45.32;true;2026-04-22T23:07:46;3;3
4;bien que;géométrique;EN_COURS;2026-04-23T03:00:44;2026-04-23T09:09:12;18.49;-145.71;true;2026-04-23T08:04:04;4;4
5;classer;badaboum parlementaire;EN_COURS;2026-04-23T03:56:47;2026-04-23T07:15:53;-84.08;51.37;true;2026-04-23T09:14:46;5;5
6;dans la mesure où bang électorat;pendant que nonobstant;EN_COURS;2026-04-23T09:47:16;2026-04-22T20:16:02;75.65;-140.89;true;2026-04-23T09:24:53;6;6
7;lectorat probablement;sauf à équipe grandement;DISPONIBLE;2026-04-22T21:55:14;2026-04-23T05:07:13;-75.17;51.05;false;2026-04-23T10:23:54;7;7
8;tirer;plonger émérite à l'exception de;DISPONIBLE;2026-04-23T08:43:16;2026-04-23T08:11:29;-12.68;-148.26;true;2026-04-22T23:45:07;8;8
9;sauf psitt clac;vaste concurrence areu areu;EN_COURS;2026-04-22T23:54:11;2026-04-22T20:34:15;-14.06;65.28;true;2026-04-23T04:09:21;9;9
10;au-dedans de;de peur que pff conseil d’administration;EN_COURS;2026-04-22T14:37:08;2026-04-23T10:45:32;81.26;44.77;true;2026-04-23T02:17:10;10;10
11;population du Québec;bzzz redresser;CLOTUREE;2026-04-23T10:14:07;2026-04-22T21:10:14;-48.8;3.06;true;2026-04-23T05:06:05;11;11
12;plic étant donné que super;espiègle mairie sur;CLOTUREE;2026-04-23T05:12:18;2026-04-23T09:42:15;36.98;-178.06;true;2026-04-22T20:11:31;12;12
13;jeune;constituer membre titulaire;CLOTUREE;2026-04-22T21:45:06;2026-04-22T14:46:40;18.31;63.31;true;2026-04-22T19:50:24;13;13
14;ouin selon;lasser;EN_COURS;2026-04-23T08:43:53;2026-04-22T22:26:34;33.83;126.83;true;2026-04-22T21:01:19;14;14
15;effacer;grossir;DISPONIBLE;2026-04-22T23:50:30;2026-04-22T14:36:44;72.7;92.61;true;2026-04-23T02:59:57;15;15
16;ah membre du personnel distinguer;recta;DISPONIBLE;2026-04-23T07:03:54;2026-04-23T12:04:54;-28.5;-113.97;false;2026-04-23T11:21:08;16;16
17;amener chut;délectable;CLOTUREE;2026-04-23T02:28:34;2026-04-23T11:32:24;44.08;-143.65;true;2026-04-22T22:54:24;17;17
18;sale bzzz du fait que;très;EN_COURS;2026-04-22T12:59:48;2026-04-22T14:49:19;-62.75;-23.41;false;2026-04-22T15:55:12;18;18
19;puisque devant contre;d'après diététiste biathlète;CLOTUREE;2026-04-22T18:57:25;2026-04-22T21:57:16;87.95;-20.98;false;2026-04-23T09:29:20;19;19
20;touriste au-devant tendre;tantôt;DISPONIBLE;2026-04-23T07:51:47;2026-04-23T04:34:58;7.1;150.05;false;2026-04-23T07:15:00;20;20
21;direction;casser à travers ronron;CLOTUREE;2026-04-23T05:45:44;2026-04-22T19:13:16;45.75;61.64;false;2026-04-23T00:33:28;21;21
22;de manière à ce que du fait que;cocorico pendant souple;DISPONIBLE;2026-04-22T20:52:33;2026-04-23T02:34:10;-4.31;117.87;false;2026-04-22T22:52:09;22;22
23;diablement résulter;ouf arrière à moins de;CLOTUREE;2026-04-23T05:37:10;2026-04-22T17:15:33;31.04;-111.17;true;2026-04-23T05:16:13;23;23
24;délégation deçà afin de;hystérique administration;EN_COURS;2026-04-23T11:53:12;2026-04-23T11:51:27;61.36;138.48;false;2026-04-22T12:22:57;24;24
25;dès que;fourbe;EN_COURS;2026-04-22T14:35:41;2026-04-23T02:05:30;-58.52;-111.71;true;2026-04-23T10:32:36;25;25
26;triathlète dorénavant;longtemps;EN_COURS;2026-04-23T06:09:00;2026-04-23T10:43:20;-33.27;97.59;true;2026-04-23T02:55:02;26;26
27;miam énergique à partir de;foule;DISPONIBLE;2026-04-23T08:39:34;2026-04-23T03:45:59;-39.24;-155.86;true;2026-04-22T16:48:10;27;27
28;fonctionnaire même;rêver gigantesque psitt;DISPONIBLE;2026-04-23T07:47:19;2026-04-22T13:05:28;18.75;31.69;true;2026-04-23T04:31:34;28;28
29;admirablement éloigner;maintenant acquérir;DISPONIBLE;2026-04-23T10:21:04;2026-04-22T16:56:28;85.75;-143.34;false;2026-04-22T16:22:00;29;29
30;pourvu que hier prestataire de services;délégation dans la mesure où mince;DISPONIBLE;2026-04-23T03:58:24;2026-04-23T02:28:28;-68.55;-73.92;false;2026-04-23T03:04:59;30;30
